Liquor / Cocktail / Liqueur,% Alc (ABV),Proof,Is Primary,Search Terms
Mango liqueur,23,46,FALSE,mango liqueur|mango schnapps
Maraschino,40,80,FALSE,maraschino
Mastica,47,94,FALSE,mastica
Melon Liqueur,23,46,FALSE,melon liqueur
Metaxa,40,80,FALSE,metaxa
Midori,23,46,FALSE,midori
Mint liqueur,25,50,FALSE,mint liqueur|creme de menthe|mint schnapps
Mozart Chocolate Liqueurs,20,40,FALSE,mozart chocolate liqueurs
Nocello,24,48,FALSE,nocello
Nocino,35,70,FALSE,nocino
Oghi,53,106,FALSE,oghi
Orange liqueur,30,60,FALSE,orange bitters|orange brandy|orange schnapps|Orangecello|tangerine liqueur|triple sec|orange liqueur
Ouzo,40,80,FALSE,ouzo
Ouzo anise liqueur,40,80,FALSE,ouzo
Parfait Amour,30,60,FALSE,parfait amour
Passion-fruit liqueur,20,40,FALSE,passion-fruit liqueur
Pastis,43,86,FALSE,pastis
Patxaran,30,60,FALSE,patxaran
Peach Brandy,20,40,FALSE,peach brandy
Peach Liqueur,23,46,FALSE,peach liqueur
Peach schnapps,23,46,FALSE,peach schnapps
Peanut liqueur,15,30,FALSE,peanut liqueur
Pear liqueur,40,80,FALSE,pear schnapps|poire william|xante liqueur
Pecher Mignon,18,36,FALSE,pecher mignon
Peppermint Schnapps,27,54,FALSE,peppermint schnapps
Peychaud's bitters,35,70,FALSE,peychaud's bitters|peychauds bitters
Pineau des Charentes,15,30,FALSE,pineau des charentes
Pinot Noir,12,24,FALSE,pinot noir
Pisang Ambon,21,42,FALSE,pisang ambon
Pistachio liqueur,24,48,FALSE,pistachio liqueur
Plum liqueur,40,80,FALSE,plum liqueur
Ponche Caribe,11,22,FALSE,ponche caribe
Ponche Crema,15,30,FALSE,ponche crema
Ponche Diva,10,20,FALSE,ponche diva
Ponche Kuba,9,18,FALSE,ponche kuba
Port Wine,20,40,FALSE,port wine
Prunelle,15,30,FALSE,prunelle
Raki,45,90,FALSE,raki
Raki liqueur,45,90,FALSE,raki
Raspberry liqueur,16.5,33,FALSE,raspberry liqueur||black raspberry liqueur|creme de framboise|de kuyper raspberry liqueur|framboise raspberry liqueur|fruja raspberry|raspberry schnapps
Red Curaçao,31,62,FALSE,red curaçao
Rock and rye,27,54,FALSE,rock and rye
Root beer liqueur,22.5,45,FALSE,root beer liqueur
Rose Wine,8.6,17.2,FALSE,rose wine|rosé
Rum,47.25,94.5,TRUE,rum
Rum Tree,24,48,FALSE,rum tree
Rumple Minze,50,100,FALSE,rumple minze
Sabra liqueur,27,54,FALSE,sabra liqueur
Saint Brendan's,17,34,FALSE,saint brendan's
Sake,15,30,FALSE,sake
Salmiakkikossu,40,80,FALSE,salmiakkikossu
Sambuca,40,80,FALSE,sambuca
Sambuca,40,80,FALSE,sambuca
Sheridan's,16,32,FALSE,sheridan's
Shiraz,12,24,FALSE,shiraz
Sloe gin,26,52,FALSE,sloe gin
Southern Comfort,35,70,FALSE,southern comfort
Sparkling White Wine,9.8,19.6,FALSE,sparkling white wine|sparkling white|sparkling wine
Starbucks Coffee Liqueur,20,40,FALSE,starbucks coffee liqueur
Starbucks Cream Liqueur,15,30,FALSE,starbucks cream liqueur
Strawberry Brandy,40,80,FALSE,strawberry brandy|strawberry liqueur
Strega,40,80,FALSE,strega
Sweet White Wine,10.1,20.2,FALSE,sweet white wine
Syrah,20,40,FALSE,syrah
Tequila,45,90,TRUE,tequila
Tia Lusso (with cream),27,54,FALSE,tia lusso (with cream)
Tia Maria,27,54,FALSE,tia maria
Triple sec,30,60,FALSE,triple sec
Tropical-fruit schnapps,15,30,FALSE,tropical-fruit schnapps|tropical-fruit liqueur
Tsipouro,40,80,FALSE,tsipouro
Vandermint,26,52,FALSE,vandermint
Vermeer Dutch Chocolate Cream Liqueur,17,34,FALSE,vermeer dutch chocolate cream liqueur
Violet liqueur,30,60,FALSE,violet liqueur|creme de violette|parma violet liqueur
Vodka,40,80,TRUE,vodka
Vodka,42.5,85,TRUE,vodka
Wallace Liqueur,35,70,FALSE,wallace liqueur
Watermelon Pucker,15,30,FALSE,watermelon pucker
Whiskey,46.65,93.3,TRUE,whiskey
Wild Strawberry liqueur,25,50,FALSE,wild strawberry liqueur
Wildberry liqueur,23,46,FALSE,wildberry liqueur|wildberry schnapps
Xtabentún,40,80,FALSE,xtabentún
Yellow Chartreuse,40,80,FALSE,yellow chartreuse
Yellow Curaçao,31,62,FALSE,yellow curaçao
Yukon Jack,50,100,FALSE,yukon jack
Zinfadel,19,38,FALSE,zinfadel
Beer,8,16,FALSE,beer
